stage,stage_label,order,title,description,source_file,notes_for_new_ideas
pre_foreplay,Pre-Foreplay,62,Jacket Assist,"{player}, gently trace your thumb over their collarbone while helping them take off their jacket or bag.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,63,Kitchen Lean,"{player}, stand next to them while they make coffee or dinner and quietly rest your head on their shoulder for 15 seconds.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,64,Red Light Hold,"{player}, reach across the car console and hold their hand firmly at every red light.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,65,Pocket Pinch,"{player}, walk past {partner} and slip your hand into their back pocket for a gentle squeeze.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,66,Counter Contact,"{player}, stand close enough that your hips touch while washing dishes or preparing food.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,67,Hallway Graze,"{player}, lightly graze your fingers down the back of their arm while walking past them in the hallway.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,68,Belt Loop Pull,"{player}, pull {partner} in by their belt loops or waistband for a quick, firm kiss.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,69,Face Hold,"{player}, touch the side of their face with both hands and tell them they look incredible today.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,70,Silent Sway,"{player}, hold {partner} by the hips and slowly sway together for 30 seconds with no music playing.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,71,Lip Bite Stare,"{player}, bite your bottom lip while looking at them from across the kitchen counter.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,72,Breath on Cheek,"{player}, lean in close, pretend you are going to tell them a secret, and just breathe gently onto their cheek.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,73,Silent Demand,"{player}, catch their eye, point to your lips, and point to them—demanding a kiss without speaking.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,74,Secret Smile,"{player}, look at {partner}, smile slowly, and shake your head like you’re holding back a secret.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,75,Lip Glance,"{player}, pause mid-sentence while talking, look down at their lips, then look back up into their eyes before continuing.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,76,Warm Look,"{player}, give {partner} a warm, lingering look, then slowly tilt your head and smile.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,77,Ear Confession,"{player}, whisper 'I've been distracted by you all afternoon' right against their ear.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,78,Seated Collarbone,"{player}, stand behind them while they are seated and rest both hands lightly on their collarbones.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,79,Outfitter Rule,"{player}, rule: The initiator gets to choose what both of you wear for the next hour.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,80,Screen Blackout,"{player}, rule: Neither of you can use your phone for the next 30 minutes—only focus on each other.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,81,Room Transit,"{player}, rule: You must hold hands every time you move from one room to another for the rest of the evening.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,82,Kneeling Drink,"{player}, pour {partner} a cold glass of water or a warm drink and serve it to them on your knees.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,83,Mood Lighting,"{player}, turn off all main overhead lighting and switch to warm lamps or candlelight only.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,84,Quick Foot Rub,"{player}, give {partner} a slow 2-minute foot rub while they relax on the couch.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,85,Pamper Check,"{player}, ask {partner}: 'What's one small thing I can do tonight to make you feel completely pampered?'.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,86,Room Temp Shift,"{player}, put on a slow, ambient playlist and set the room temperature to cozy.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,87,Initial Trace,"{player}, trace your initial onto their forearm with your fingertip and make them guess what you wrote.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,88,Cold Metal Trace,"{player}, tell {partner} to close their eyes while you lightly run a cold silver spoon down their arm.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,89,Mirror Note,"{player}, write a romantic or playful note on their bathroom mirror using a dry-erase marker or lip balm.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,90,Stress Reduction,"{player}, ask {partner} to rate their stress level from 1 to 10 and give them a massage until it drops by two points.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,91,Sweet Bite,"{player}, feed {partner} a sweet treat (like a piece of chocolate or fruit) while holding their eyes locked with yours.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,92,Trio Kisses,"{player}, give {partner} three gentle kisses—one on the forehead, one on the tip of the nose, and one on the lips.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,93,Two Buttons,"{player}, unbutton just the top two buttons of {partner}'s shirt, then step back.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,94,Day Catchup,"{player}, trace your finger around their earlobe while asking them about the best part of their day.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,95,Lap Rest,"{player}, sit next to {partner} on the couch and rest your legs across their lap.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,96,Balm Application,"{player}, gently apply lip balm to {partner}'s lips using your finger.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,97,Palmed Kiss,"{player}, kiss the palm of their hand, close their fingers into a fist, and say 'keep that for later.'.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,98,Knee Rest,"{player}, rest your hand gently on their knee while watching TV or chatting.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,99,Synced Breath,"{player}, stand face-to-face and take five slow, deep breaths in unison.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,100,Bedroom Summon,"{player}, walk up, whisper 'You're mine tonight,' and walk into the bedroom.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,101,Mirror Flash,"{player}, send {partner} a text with a quick, suggestive mirror selfie — show just enough skin to leave them guessing.",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,102,Whispered Mandate,"{player}, lean in close in public or around company and whisper exactly what underwear you aren't wearing tonight.",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,103,Desk Interruption,"{player}, walk up while {partner} is sitting down, turn their chair around, and kiss them deeply on the mouth for 10 seconds before walking away.",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,104,Car Key Hijack,"{player}, text {partner}: ""When we get home, you're taking off my clothes before you take off your shoes.""",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,105,Blindfold Tease,"{player}, text a picture of a silk scarf or blindfold resting on the pillow with the caption: ""Guess how we're using this later.""",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,106,Video Tease,"{player}, send a short, private 5-second video of you touching yourself through your clothes — at work or in another room.",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,107,Whispered Demand,"{player}, walk up behind {partner}, tip their head back gently by the hair, and whisper: ""You're going to do whatever I say in the bedroom tonight.""",pre-foreplay-3.json,
pre_foreplay,Pre-Foreplay,108,No-Pants Rule,"{player}, text {partner} right before coming home: ""Lose the pants or skirt before I get through the door.""",pre-foreplay-3.json,
foreplay,Foreplay,1,Blindfold Exploration,"{player}, blindfold {partner} and lightly trace an ice cube down their neck and chest.",foreplay.json,
foreplay,Foreplay,2,Feather Touch,"{player}, use your fingertips or a soft fabric to gently stroke {partner}'s inner arms and thighs for 2 minutes.",foreplay.json,
foreplay,Foreplay,3,Sensory Kissing,"{player}, kiss {partner} everywhere EXCEPT their lips for 3 full minutes.",foreplay.json,
foreplay,Foreplay,4,Temperature Play,"{player}, take a sip of warm tea or ice water, then press a slow kiss to {partner}'s collarbone.",foreplay.json,
foreplay,Foreplay,5,Massage Oil Ritual,"{player}, warm some massage oil in your hands and spend 5 minutes working on {partner}'s shoulders and upper back.",foreplay.json,
foreplay,Foreplay,6,Earlobe Tease,"{player}, gently nibble and blow warm air on {partner}'s earlobes while whispering what you want to do next.",foreplay.json,
foreplay,Foreplay,7,Slow Stripping,"{player}, slowly remove one article of {partner}'s clothing using only your teeth.",foreplay.json,
foreplay,Foreplay,8,Breath Work,"{player}, hover your lips a fraction of an inch above {partner}'s skin, letting them feel your warm breath without touching.",foreplay.json,
foreplay,Foreplay,9,Trace & Guess,"{player}, trace a shape on {partner}'s torso with your tongue; if they guess it correctly, they give you a command.",foreplay.json,
foreplay,Foreplay,10,Foot Massage,"{player}, give {partner} a slow, relaxing foot massage focusing on the arches and heels.",foreplay.json,
foreplay,Foreplay,11,Neck Mapping,"{player}, leave a trail of soft kisses from the base of {partner}'s throat up to their jawline.",foreplay.json,
foreplay,Foreplay,12,Handcuff / Restraint Light,"{player}, gently hold {partner}'s wrists above their head for 60 seconds while kissing them deeply.",foreplay.json,
foreplay,Foreplay,13,Whispered Compliments,"{player}, whisper three explicit compliments about {partner}'s body while running your hands over those exact spots.",foreplay.json,
foreplay,Foreplay,14,Sensory Reset,"{player}, have {partner} close their eyes while you touch three different parts of their body using three different textures.",foreplay.json,
foreplay,Foreplay,15,Slow Descent,"{player}, kiss {partner}'s lips, then neck, then chest, pausing at each stop for 30 seconds.",foreplay.json,
foreplay,Foreplay,16,Fingertip Massage,"{player}, gently massage {partner}'s hands, fingers, and palms while maintaining steady eye contact.",foreplay.json,
foreplay,Foreplay,17,Mirror View,"{player}, position {partner} in front of a mirror and touch them while both watching in the reflection.",foreplay.json,
foreplay,Foreplay,18,Tension Pull,"{player}, gently pull {partner}'s hair back to expose their neck, then press a deep kiss into the side of their neck.",foreplay.json,
foreplay,Foreplay,19,Thigh Hover,"{player}, lightly trace your fingers up {partner}'s inner thighs, stopping just short of sensitive areas.",foreplay.json,
foreplay,Foreplay,20,Rhythmic Breathing,"{player}, lay chest-to-chest and synchronize your breathing with {partner} for 1 full minute.",foreplay.json,
foreplay,Foreplay,21,Warm Hands,"{player}, rub your hands together rapidly until warm, then place them directly over {partner}'s bare waist.",foreplay.json,
foreplay,Foreplay,22,Biting Tease,"{player}, lightly bite down on {partner}'s lower lip, shoulder, or hip bone during a kiss.",foreplay.json,
foreplay,Foreplay,23,Erotic Reading,"{player}, read a short, sensual paragraph or naughty prompt aloud to {partner} in a low voice.",foreplay.json,
foreplay,Foreplay,24,Ribcage Caress,"{player}, use both hands to slowly trace down {partner}'s ribcage to their hips.",foreplay.json,
foreplay,Foreplay,25,Lingerie / Underwear Removal,"{player}, take 2 full minutes to unfasten or remove {partner}'s underwear as slowly as possible.",foreplay.json,
foreplay,Foreplay,26,Palm Kisses,"{player}, kiss the center of both of {partner}'s palms and fold their fingers over the spot.",foreplay.json,
foreplay,Foreplay,27,Feather Light Tracing,"{player}, use just the very tips of your fingernails to lightly skim across {partner}'s stomach.",foreplay.json,
foreplay,Foreplay,28,Spine Trail,"{player}, kiss every single vertebra down {partner}'s spine from neck to lower back.",foreplay.json,
foreplay,Foreplay,29,Controlled Touch,"{player}, guide {partner}'s hand across your own body to show them exactly how and where you want to be touched.",foreplay.json,
foreplay,Foreplay,30,Ice Cube Drag,"{player}, drag an ice cube from {partner}'s stomach down to their hip bone, then melt the cold spot with warm kisses.",foreplay.json,
foreplay,Foreplay,31,Hypnotic Stare,"{player}, straddle {partner} or sit close and stare deeply into their eyes while caressing their face for 60 seconds.",foreplay.json,
foreplay,Foreplay,32,Shoulder Blade Trail,"{player}, trace your tongue along the contour of {partner}'s shoulder blades.",foreplay.json,
foreplay,Foreplay,33,Knee Kisses,"{player}, kiss the soft skin behind {partner}'s knees.",foreplay.json,
foreplay,Foreplay,34,Gentle Restraint,"{player}, use a necktie or soft scarf to loosely tie {partner}'s hands together for the next two cards.",foreplay.json,
foreplay,Foreplay,35,Audio Focus,"{player}, put headphones on {partner} with soft music playing while you kiss and touch them.",foreplay.json,
foreplay,Foreplay,36,Slow Striptease,"{player}, remove one piece of your own clothing as slowly as possible while making direct eye contact.",foreplay.json,
foreplay,Foreplay,37,Hip Caress,"{player}, grip {partner} firmly by the hips and pull them tightly against your body.",foreplay.json,
foreplay,Foreplay,38,Tongue Trace,"{player}, trace the outline of {partner}'s ear with the tip of your tongue.",foreplay.json,
foreplay,Foreplay,39,Sensory Blindfold,"{player}, blindfold {partner} and let them guess which object or fabric you are using to touch them.",foreplay.json,
foreplay,Foreplay,40,Collarbone Kiss,"{player}, linger on {partner}'s collarbone with slow, wet kisses for 45 seconds.",foreplay.json,
foreplay,Foreplay,41,Body Oil Trace,"{player}, trace intricate patterns on {partner}'s stomach using massage oil.",foreplay.json,
foreplay,Foreplay,42,Grounded Touch,"{player}, place both hands flat against {partner}'s chest and apply gentle pressure while kissing.",foreplay.json,
foreplay,Foreplay,43,Tempting Pause,"{player}, lean in as if to kiss {partner} passionately, stop half an inch away, hold for 10 seconds, then pull back.",foreplay.json,
foreplay,Foreplay,44,Jawline Skim,"{player}, gently trace your thumb along {partner}'s jawline before tilting their head up for a deep kiss.",foreplay.json,
foreplay,Foreplay,45,Inner Wrist Trail,"{player}, lick a slow line from {partner}'s inner wrist up to the crook of their elbow.",foreplay.json,
foreplay,Foreplay,46,Soft Whispering,"{player}, whisper a detailed plan for the next 10 minutes directly against {partner}'s skin.",foreplay.json,
foreplay,Foreplay,47,Fingertip Suck,"{player}, gently take one of {partner}'s fingers into your mouth and suck lightly.",foreplay.json,
foreplay,Foreplay,48,Low Lights Focus,"{player}, turn off all the lights except for a single candle or warm glow light before continuing.",foreplay.json,
foreplay,Foreplay,49,Rhythmic Stroke,"{player}, stroke {partner}'s hair slowly in sync with the beat of a background song.",foreplay.json,
foreplay,Foreplay,50,Full Body Skim,"{player}, run both flat palms over {partner}'s entire body from shoulders to ankles without breaking contact.",foreplay.json,
foreplay,Foreplay,51,Scent Selection,"{player}, blindfold {partner} and let them smell three different scented items to choose the mood.",foreplay-2.json,
foreplay,Foreplay,52,Scarf Stroke,"{player}, use a silk scarf or soft ribbon to lightly stroke down {partner}'s arms and torso.",foreplay-2.json,
foreplay,Foreplay,53,Slow Collarbone,"{player}, kiss {partner}'s collarbone five times, moving slower with each kiss.",foreplay-2.json,
foreplay,Foreplay,54,Calf Massage,"{player}, rub a small amount of warm body oil between your palms and massage {partner}'s calves and ankles.",foreplay-2.json,
foreplay,Foreplay,55,Knuckle Ribs,"{player}, lightly trace your knuckles down the side of {partner}'s ribcage to their hip.",foreplay-2.json,
foreplay,Foreplay,56,Warm Air & Cool Touch,"{player}, gently blow warm air on {partner}'s stomach, then immediately follow it with a cool touch.",foreplay-2.json,
foreplay,Foreplay,57,Fingertip Circles,"{player}, use your fingertips to trace small, slow circles all over {partner}'s upper chest.",foreplay-2.json,
foreplay,Foreplay,58,Elbow Kiss,"{player}, kiss the inside of {partner}'s elbow for 30 seconds.",foreplay-2.json,
foreplay,Foreplay,59,Nose Trace,"{player}, trace {partner}'s jawline with the tip of your nose.",foreplay-2.json,
foreplay,Foreplay,60,Scalp Focus,"{player}, give {partner} a slow, relaxing scalp massage using your fingertips for 2 minutes.",foreplay-2.json,
foreplay,Foreplay,61,Wrists Elevated,"{player}, hold {partner}'s wrists gently above their head while kissing down their neck.",foreplay-2.json,
foreplay,Foreplay,62,Back Scratch,"{player}, lightly drag your fingernails down {partner}'s back in slow, parallel lines.",foreplay-2.json,
foreplay,Foreplay,63,Vacation Fantasy,"{player}, whisper a detailed fantasy about a vacation scenario into {partner}'s ear.",foreplay-2.json,
foreplay,Foreplay,64,Arm Feather,"{player}, touch {partner}'s inner arm with a soft feather or fabric from wrist to shoulder.",foreplay-2.json,
foreplay,Foreplay,65,Behind the Earlobe,"{player}, kiss {partner} on the sweet spot right behind their earlobe.",foreplay-2.json,
foreplay,Foreplay,66,Interlocked Toes,"{player}, place your bare feet against {partner}'s feet under the sheets and interlock your toes.",foreplay-2.json,
foreplay,Foreplay,67,Timed Unbuttoning,"{player}, slowly unbutton {partner}'s shirt one single button every 30 seconds.",foreplay-2.json,
foreplay,Foreplay,68,Hovering Lips,"{player}, hover your lips over {partner}'s lips for 20 seconds without letting them touch.",foreplay-2.json,
foreplay,Foreplay,69,Under-Shirt Palms,"{player}, run your hands under {partner}'s shirt and rest your warm palms flat on their lower back.",foreplay-2.json,
foreplay,Foreplay,70,Eyebrow Kisses,"{player}, give {partner} a slow, gentle kiss on each eyebrow before kissing their lips.",foreplay-2.json,
foreplay,Foreplay,71,Hip Pinch,"{player}, lightly pinch {partner}'s hip bone during a deep kiss.",foreplay-2.json,
foreplay,Foreplay,72,Barefoot Sock Removal,"{player}, take off {partner}'s socks using only your feet.",foreplay-2.json,
foreplay,Foreplay,73,Tongue Map,"{player}, trace an imaginary map on {partner}'s stomach with your tongue.",foreplay-2.json,
foreplay,Foreplay,74,Pulse Check,"{player}, guide {partner}'s hand to feel your racing pulse.",foreplay-2.json,
foreplay,Foreplay,75,Warm Cloth Eyes,"{player}, place a warm cloth over {partner}'s eyes while you touch their hands and arms.",foreplay-2.json,
foreplay,Foreplay,76,Lip Outline,"{player}, trace your tongue along {partner}'s lip line before giving them a full kiss.",foreplay-2.json,
foreplay,Foreplay,77,Temple Thumb Massage,"{player}, gently massage {partner}'s temples with your thumbs while looking down at them.",foreplay-2.json,
foreplay,Foreplay,78,Inner Thigh Kisses,"{player}, kiss the soft skin on the inside of {partner}'s thighs, staying away from the center.",foreplay-2.json,
foreplay,Foreplay,79,Belly Button Ice,"{player}, use an ice cube to trace a ring around {partner}'s belly button.",foreplay-2.json,
foreplay,Foreplay,80,Hair Brush Back,"{player}, have {partner} lie back while you slowly brush their hair out of their face.",foreplay-2.json,
foreplay,Foreplay,81,Chest Flush,"{player}, hold {partner} by the waist and lift them slightly to pull them flush against your chest.",foreplay-2.json,
foreplay,Foreplay,82,Favorite Feature,"{player}, whispering only: Tell {partner} your absolute favorite physical feature on their body.",foreplay-2.json,
foreplay,Foreplay,83,Off-the-Shoulder Kiss,"{player}, slowly slide {partner}'s shirt off their shoulders, kissing each shoulder as it is revealed.",foreplay-2.json,
foreplay,Foreplay,84,Chin-to-Navel Line,"{player}, trace your finger from {partner}'s chin down to their belly button in one unbroken line.",foreplay-2.json,
foreplay,Foreplay,85,Lotion Hand Massage,"{player}, give {partner} a slow 1-minute hand massage using scented lotion.",foreplay-2.json,
foreplay,Foreplay,86,Ten-Finger Lock,"{player}, lay face-to-face and interlock all ten fingers while sharing deep, slow kisses.",foreplay-2.json,
foreplay,Foreplay,87,Rear Shoulder Bite,"{player}, gently bite {partner}'s shoulder blade while hugging them from behind.",foreplay-2.json,
foreplay,Foreplay,88,Contour Palm,"{player}, trace the contour of {partner}'s hip with the palm of your hand.",foreplay-2.json,
foreplay,Foreplay,89,Three Warm Touch,"{player}, blindfold {partner} and touch them with three warm objects in a row.",foreplay-2.json,
foreplay,Foreplay,90,Throat to Chin,"{player}, lick a slow path from the base of {partner}'s throat up to their chin.",foreplay-2.json,
